,Coordinates,Oscillator_period,Genome,Age,status
creature_36,"['x_127', 'y_77']",10,"['93F838B8', '3C2A5E20', '9C9F121C', '589F1F23', '1A9F0F7E', 'D787BD77', 'D787BD77', 'EBB119D0', 'F707BD77', '37836268', '3064F8A1', '9E9F0F7E', '9799617C', '9AD526A2', '9ED42B5D', 'D702E57C', '93D838FE', '3064F9A1', 'D787BD77', '93D838F8', 'DB87BCD6', '3E2C0959', '1C182990', 'B6245309', '3EAC055D', '9B9D86E0', '9A9F0F7E', '1B4126E0', '9A9F181C', '3064F9A1', 'EBA559F4', '963D562C']",180,Died
creature_37,"['x_125', 'y_120']",50,"['3164F923', '588F0F23', '3064F8A1', '3C2E055C', 'D387AF12', '32E8D111', 'DF87BCF6', '3051BB99', '3064F921', '93DA3AFE', '83D838EE', '3422661F', '335E54E5', '9A9B0F7F', 'DF81E15C', '1B41A6E0', 'EBB11950', '3E2C097F', '32ECD11D', 'DF81C56C', 'E3B0195D', '166AD23D', 'D787BD77', '1B51A6E0', '9A9F0F7F', '2C2A5E00', '588F1B23', '3064F8A1', 'DF85AF7C', '1B71A6E0', '1B5126E2', '9E9F077E']",180,Survived
creature_38,"['x_124', 'y_118']",10,"['E9166606', '375E54E5', 'C2914D9D', 'DF81E11C', '9A9F181C', '93D83A9C', '3064F8A1', 'D78FAE06', '3050BBE9', '92D038BC', '13D838FE', 'DF81E15C', '1E24255D', '589F1D23', 'B010BB1D', '10509B49', '14141C6A', '35545CED', '3064F8A1', '342C055D', '963D562C', 'EDA118D4', 'D8DD9F2B', '92991F1D', '9E9F0F7E', 'E3B119DD', 'DD87BCF6', '5C8F1F23', '3E2D091F', '9AD126E0', 'E9142E04', '9A9F0F76']",180,Survived
creature_39,"['x_122', 'y_126']",10,"['589F1F48', '3065E933', '3C2A5E20', 'D781C17C', '375E54E5', '35561DED', '3C2A5D00', '3064F8A1', '93F838A8', 'EBB119D0', '9A9F0FFF', '963C472D', 'EBA559D4', 'D781C56C', '3E2D091F', '3464F923', '355414E5', 'D8CDD93F', 'F785E17C', '3450BB19', '35565CAD', '3C2A5E00', '989F121C', '93F818FC', 'A282158F', '3064F923', '1E3C055D', '355616E5', 'F7876368', '58971F4B', '83D838EE', '35561DED']",180,Survived
creature_40,"['x_125', 'y_122']",18,"['A082050B', '32E8D119', '357614E5', '588F1F23', '93D838FE', '3064F9A1', 'E3B119D4', '9A9127A2', '35565CCD', 'DF81E15C', '355616E5', '35571DED', 'D781C17C', '3050BB99', 'DF85AF7C', 'DF85AF7C', 'EBA15DD4', '9678089E', 'DF81E15C', 'D781653D', 'EBB11950', '3064F921', '9AD122E4', '5A9F8F0B', 'DF87BCF2', '9A9F0F7E', '5A9F8F2B', '9AD122E4', '10509A49', '35565CED', 'F787BD77', '3E25455D']",180,Survived
creature_41,"['x_127', 'y_113']",10,"['DF95AF7C', 'EBB119D0', '3464F923', 'F787BD77', 'F102475F', '3E2C055D', '5C1B1B21', '10509A49', 'EBA15DD4', 'ABB11950', '355E5EED', '7024F92B', '98D12EE4', '589F1F4B', 'D781657D', 'EBB199D5', 'DF81E15C', '316CD339', '9B9D96E0', 'EBB11950', '3050FBC8', 'D68FAF16', '93D838FC', '14141C6B', '9A9E181C', '355616E5', '3406147B', '9AD126E0', 'DADD9F27', '342C055D', '3052BB99', '3E2D091F']",180,Died
creature_42,"['x_121', 'y_1']",10,"['355E5EED', '93F838FD', '9E942B54', '1E3C055D', '3064F921', '95264756', '93DE18BC', 'D89F1F49', '1B4126E0', 'E3B119DD', '3E2C115D', '58951F4F', 'EBB11950', '375E54E5', '35565CED', 'DF81C14C', '3E2D091F', '50509B69', '588F1F23', '3C2A5E20', '35545CED', 'EBFB99D4', '5C1B1B23', 'EBA159D4', '3E2C0555', '589D1F23', 'DF81C56C', 'D9373E07', '355656ED', '17561DAD', '166AD33D', 'D787BD77']",180,Survived
creature_43,"['x_118', 'y_127']",10,"['3464F123', 'DC1F3B03', '355616E5', 'EBB119D4', '3064D8A1', '589F1F23', '342C055D', '342C055D', '9A9F0F7E', '5C1B1B23', '96FC489C', '3C2A5E00', 'EBA559D4', '14141C6B', '3064F8A1', '1B71A6E0', '375E56E5', '9ED42B5C', 'E9166E06', 'F795E17C', '95264756', '3EAC055D', '3068D3B9', 'A082050B', '3C2C015F', 'DF81E15C', '13D838FE', '3064F923', 'E3B0195D', '50509B69', 'EBB119D0', '9AD126E0']",180,Survived
creature_44,"['x_125', 'y_123']",10,"['9E9F0F7E', '3064F923', '8082050B', '589F1F23', '166AD23D', '355614E5', 'EBA19994', '1B51A6E0', 'B6245309', '963D562C', '3064F923', 'DF81C14C', '3064F8A1', 'B010BB1D', 'EBB119D0', 'D787BD77', 'D787BF77', 'DF816579', '3064FB21', 'EBB11955', '335A54E5', '3C2A5C00', '355616E5', '588F1F23', 'DF97AF32', '989D157F', 'D781657D', '361875B8', 'EDA118D4', '58971F4B', 'D587BD77', 'EDA118D4']",180,Survived
creature_45,"['x_127', 'y_124']",-3,"['EBA559D4', '9AD026A2', '375E54E5', '5C3A1323', '35565CED', '32E8D119', 'D781C17C', '9A9127A2', '93D838F8', '963C472D', '5F87AD7C', '3C29015D', 'EB3119D5', '13D838FE', 'EBB139D5', 'A282158F', '9B9D96E0', '5F85BC3C', '9AD126E4', 'D781C17C', 'D8CDD93F', '355E5EED', '589F1F49', '35561DED', 'DF81E15C', '3464F923', 'F785E17C', '989F121C', '3E2D091F', 'D68FAF16', '9A9F0F76', '3E2C0959']",180,Survived
